mood,rms,zcr,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_C,chroma_C#,chroma_D,chroma_D#,chroma_E,chroma_F,chroma_F#,chroma_G,chroma_G#,chroma_A,chroma_A#,chroma_B,bpm
sad,0.12135972,0.050994283904440156,1600.2863826031398,3394.181535050676,-180.95074,119.88865,25.77331,26.763262,10.497952,1.6288652,-0.90276146,6.469163,-2.76368,8.455138,-0.9602608,1.3440744,-5.2464037,0.29522276,0.33656597,0.2126015,0.270599,0.23189618,0.36462334,0.39335483,0.37440273,0.42758557,0.2770414,0.290794,0.25102478,117.45383522727273
sad,0.124201745,0.05033255912162162,1738.2086326063136,4111.927259290541,-147.81653,113.47407,23.759203,22.751524,5.163297,8.04956,-0.266501,6.9483347,1.1591971,11.03937,0.44543108,0.38518333,-6.7586174,0.4482615,0.347973,0.21034272,0.23502974,0.18396837,0.19950351,0.23167656,0.3273971,0.78376573,0.4968802,0.28123978,0.2775394,117.45383522727273
sad,0.11414703,0.04699000060328185,1668.1598596510357,3933.5092905405404,-166.2915,114.87529,21.197174,29.870045,6.649571,6.09149,1.4725677,7.120642,0.6871596,11.196865,2.4076247,2.4209485,-4.269279,0.50415564,0.29913047,0.22418833,0.3460597,0.22726682,0.2503884,0.3071294,0.46424648,0.7333853,0.4713136,0.44980577,0.3728592,117.45383522727273
sad,0.10472606,0.05428028474903475,1797.0312879557814,4164.596310177365,-168.46019,112.649315,18.775534,24.46627,5.7736177,5.3802752,-0.8426049,5.8798614,0.17310788,10.918679,1.9758773,1.4630193,-2.649957,0.35720822,0.31096768,0.24090374,0.3597911,0.22450769,0.22158314,0.35740975,0.50723827,0.7752994,0.46869543,0.4366788,0.27937436,117.45383522727273
sad,0.124103755,0.045875814430501934,1590.6595710300517,3804.6010610219596,-149.30426,123.803986,21.554596,20.678144,2.665058,7.363836,1.8430088,4.187165,2.0548508,6.445267,-3.5651734,-0.7588841,-4.36034,0.8543369,0.4638448,0.21387897,0.25314948,0.2396735,0.23576674,0.38024595,0.4210996,0.5253948,0.32441792,0.2533096,0.38208315,117.45383522727273
sad,0.11296151,0.14155820161679536,2293.7686402683767,4435.050015836148,-182.06293,102.1305,-20.12269,85.37975,-45.58862,29.592321,-3.5125148,8.271075,-4.9302416,-9.170231,-8.283902,-20.516111,2.6522872,0.55766654,0.24448106,0.16288088,0.2531283,0.36875916,0.2526889,0.22187293,0.37765998,0.2636212,0.22762677,0.25710526,0.58152044,78.30255681818181
sad,0.106929034,0.0875361969111969,1625.4486798706278,3221.7912003800675,-204.29036,136.9211,-26.752317,60.080738,-35.148666,33.04486,-0.04221135,8.782094,-5.2831526,-11.067818,-10.48615,-21.733112,1.5004286,0.41998696,0.21710184,0.16363469,0.26614508,0.44275066,0.19710588,0.17369378,0.2583874,0.3028495,0.3887802,0.26994824,0.5164376,184.5703125
sad,0.1117905,0.03999004584942085,1075.9391745930752,2351.1098500844596,-227.0345,154.49371,-5.5435367,57.460213,-16.199883,20.319891,-7.1747737,1.5050416,-11.986142,-13.048821,-1.4246593,-11.787772,-3.9485688,0.29774776,0.13705896,0.12791881,0.27039617,0.54664505,0.25324404,0.18316388,0.37750426,0.30443695,0.3743499,0.26625994,0.35453615,71.77734375
sad,0.12222716,0.040148407335907334,1007.3383183609043,2018.0934596706081,-226.1273,156.62074,-7.932015,47.887276,-17.891058,18.925827,-4.280215,8.585146,-7.062087,-11.749346,-9.642429,-23.602762,-4.0557804,0.56248355,0.22999938,0.07382762,0.12707931,0.28205165,0.1325308,0.109302066,0.18836112,0.22883429,0.512842,0.3504717,0.4401083,99.38401442307692
sad,0.084787816,0.06324279078185328,1352.4284063651335,2906.7330025337837,-244.40158,149.39276,-5.6820316,57.168354,-21.549797,23.199081,-5.8933268,9.559016,-14.405749,-13.786133,4.7315826,-10.837428,-1.07971,0.4224116,0.16260895,0.10715961,0.28112352,0.51236326,0.2648606,0.24730486,0.3763082,0.1899791,0.1520558,0.28760573,0.5120884,92.28515625
